"","parameter","date","stream","priorMean","priorSD","postL95","postMedian","postU95","julian"
"249","Alpha",2015-08-05,"st9",1.72e-06,4.3e-07,9.31e-07,1.7e-06,2.55e-06,217
"250","Alpha",2015-08-06,"st9",1.92e-06,4.8e-07,1e-06,1.88e-06,2.8e-06,218
"251","Alpha",2015-08-07,"st9",2.48e-06,6.21e-07,1.39e-06,2.49e-06,3.81e-06,219
"252","Alpha",2015-08-08,"st9",3e-06,7.51e-07,1.58e-06,2.98e-06,4.44e-06,220
"253","Alpha",2015-08-09,"st9",2.19e-06,5.48e-07,1.24e-06,2.2e-06,3.31e-06,221
"254","Alpha",2016-07-01,"st9",1.93e-06,4.83e-07,9.25e-07,1.9e-06,2.84e-06,183
"255","Alpha",2016-07-02,"st9",1.7e-06,4.25e-07,9.04e-07,1.68e-06,2.54e-06,184
"256","Alpha",2016-07-03,"st9",1.02e-06,2.56e-07,5.18e-07,1.04e-06,1.53e-06,185
"257","Alpha",2016-07-04,"st9",1.12e-06,2.8e-07,6.15e-07,1.12e-06,1.67e-06,186
"258","Alpha",2016-07-05,"st9",2.3e-06,5.74e-07,1.23e-06,2.3e-06,3.45e-06,187
"259","Alpha",2016-07-06,"st9",2.74e-06,6.86e-07,1.38e-06,2.7e-06,4.08e-06,188
"260","Alpha",2016-07-07,"st9",2.11e-06,5.27e-07,9.83e-07,2.14e-06,3.14e-06,189
"261","Alpha",2016-07-08,"st9",2.58e-06,6.45e-07,1.41e-06,2.69e-06,3.95e-06,190
"262","Alpha",2016-07-09,"st9",2.43e-06,6.07e-07,1.39e-06,2.47e-06,3.59e-06,191
"263","Alpha",2016-07-10,"st9",2.18e-06,5.46e-07,1.25e-06,2.23e-06,3.29e-06,192
"264","Alpha",2016-07-11,"st9",2.33e-06,5.83e-07,1.28e-06,2.33e-06,3.48e-06,193
"265","Alpha",2016-07-12,"st9",2.45e-06,6.11e-07,1.3e-06,2.45e-06,3.62e-06,194
"266","Alpha",2016-07-13,"st9",3.35e-06,8.38e-07,1.82e-06,3.37e-06,5.08e-06,195
"267","Alpha",2016-07-14,"st9",2.99e-06,7.49e-07,1.69e-06,2.94e-06,4.39e-06,196
"268","Alpha",2016-07-15,"st9",2.96e-06,7.4e-07,1.51e-06,2.89e-06,4.53e-06,197
"269","Alpha",2016-07-16,"st9",3.05e-06,7.62e-07,1.63e-06,3.06e-06,4.43e-06,198
"270","Alpha",2016-07-17,"st9",3.17e-06,7.92e-07,1.65e-06,3.18e-06,4.73e-06,199
"271","Alpha",2016-07-18,"st9",1.93e-06,4.83e-07,9.85e-07,1.94e-06,2.93e-06,200
"272","Alpha",2016-07-19,"st9",2.14e-06,5.35e-07,1.22e-06,2.15e-06,3.36e-06,201
"273","Alpha",2016-07-20,"st9",2.19e-06,5.49e-07,1.1e-06,2.22e-06,3.33e-06,202
"274","Alpha",2016-07-21,"st9",2.17e-06,5.42e-07,1.15e-06,2.11e-06,3.06e-06,203
"275","Alpha",2016-07-22,"st9",3.34e-06,8.36e-07,1.87e-06,3.34e-06,4.87e-06,204
"276","Alpha",2016-07-23,"st9",2.51e-06,6.27e-07,1.4e-06,2.55e-06,3.75e-06,205
"277","Alpha",2016-07-24,"st9",2.7e-06,6.76e-07,1.52e-06,2.76e-06,4.12e-06,206
"278","Alpha",2016-07-25,"st9",2.38e-06,5.96e-07,1.22e-06,2.37e-06,3.57e-06,207
"279","Alpha",2016-07-26,"st9",2.49e-06,6.22e-07,1.37e-06,2.49e-06,3.73e-06,208
"280","Alpha",2016-07-27,"st9",1.84e-06,4.61e-07,1.02e-06,1.86e-06,2.78e-06,209
"281","Alpha",2016-07-28,"st9",3.23e-06,8.09e-07,1.74e-06,3.25e-06,4.78e-06,210
"282","Alpha",2016-07-29,"st9",3.91e-06,9.78e-07,2.13e-06,3.94e-06,5.81e-06,211
"283","Alpha",2016-07-30,"st9",5.27e-06,1.32e-06,2.83e-06,5.27e-06,7.84e-06,212
"284","Alpha",2016-07-31,"st9",4.55e-06,1.14e-06,2.54e-06,4.48e-06,6.83e-06,213
"285","Alpha",2016-08-01,"st9",4.48e-06,1.12e-06,2.56e-06,4.4e-06,6.51e-06,214
"286","Alpha",2016-08-02,"st9",4.37e-06,1.09e-06,2.58e-06,4.31e-06,6.43e-06,215
"287","Alpha",2016-08-03,"st9",3.15e-06,7.87e-07,1.57e-06,3.08e-06,4.62e-06,216
"288","Alpha",2016-08-04,"st9",1.81e-06,4.54e-07,9.04e-07,1.8e-06,2.75e-06,217
"289","Alpha",2016-08-05,"st9",3.54e-06,8.85e-07,1.87e-06,3.5e-06,5.29e-06,218
"290","Alpha",2016-08-06,"st9",5.27e-06,1.32e-06,3.03e-06,5.39e-06,7.77e-06,219
"291","Alpha",2016-08-07,"st9",3.06e-06,7.66e-07,1.42e-06,3.04e-06,4.49e-06,220
"292","Alpha",2016-08-08,"st9",4.3e-06,1.07e-06,2.31e-06,4.35e-06,6.4e-06,221
"293","Alpha",2016-08-09,"st9",5.09e-06,1.27e-06,2.73e-06,5.18e-06,7.55e-06,222
"294","Alpha",2016-08-10,"st9",5.53e-06,1.38e-06,2.87e-06,5.39e-06,8e-06,223
"295","Alpha",2016-08-11,"st9",2.61e-06,6.51e-07,1.36e-06,2.57e-06,3.81e-06,224
"296","Alpha",2017-07-02,"st9",1.17e-06,2.93e-07,5.87e-07,1.16e-06,1.77e-06,183
"297","Alpha",2017-07-03,"st9",3.45e-06,8.62e-07,1.89e-06,3.34e-06,5.17e-06,184
"298","Alpha",2017-07-04,"st9",2.88e-06,7.21e-07,1.7e-06,2.73e-06,4e-06,185
"299","Alpha",2017-07-05,"st9",4.89e-06,1.22e-06,2.81e-06,4.91e-06,7.29e-06,186
"300","Alpha",2017-07-06,"st9",3.24e-06,8.1e-07,1.84e-06,3.26e-06,4.71e-06,187
"301","Alpha",2017-07-07,"st9",2.72e-06,6.8e-07,1.58e-06,2.72e-06,3.99e-06,188
"302","Alpha",2017-07-08,"st9",3.42e-06,8.56e-07,1.86e-06,3.37e-06,5.01e-06,189
"303","Alpha",2017-07-11,"st9",1.53e-06,3.82e-07,7.67e-07,1.52e-06,2.27e-06,192
"304","Alpha",2017-07-12,"st9",3.22e-06,8.05e-07,1.76e-06,3.16e-06,4.78e-06,193
"305","Alpha",2017-07-13,"st9",2.25e-06,5.63e-07,1.19e-06,2.18e-06,3.17e-06,194
"306","Alpha",2017-07-15,"st9",1.17e-06,2.91e-07,5.71e-07,1.18e-06,1.72e-06,196
"307","Alpha",2017-07-16,"st9",1.06e-06,2.64e-07,5.86e-07,1.09e-06,1.6e-06,197
"308","Alpha",2017-07-17,"st9",1.16e-06,2.89e-07,6.02e-07,1.13e-06,1.71e-06,198
"309","Alpha",2017-07-19,"st9",7.27e-07,1.82e-07,3.97e-07,7.27e-07,1.07e-06,200
"310","Alpha",2017-07-20,"st9",6.96e-07,1.74e-07,3.61e-07,6.98e-07,1.03e-06,201
"311","Alpha",2017-07-21,"st9",2.15e-06,5.38e-07,1.1e-06,2.09e-06,3.22e-06,202
"312","Alpha",2017-07-22,"st9",2.34e-06,5.85e-07,1.17e-06,2.39e-06,3.49e-06,203
"313","Alpha",2017-07-23,"st9",1.76e-06,4.41e-07,9.22e-07,1.78e-06,2.57e-06,204
"314","Alpha",2017-07-24,"st9",2.43e-06,6.08e-07,1.31e-06,2.42e-06,3.64e-06,205
"315","Alpha",2017-07-25,"st9",1.15e-06,2.88e-07,5.73e-07,1.12e-06,1.65e-06,206
"316","Alpha",2017-07-26,"st9",1.64e-06,4.11e-07,8.61e-07,1.66e-06,2.49e-06,207
"317","Alpha",2017-07-27,"st9",2.47e-06,6.18e-07,1.14e-06,2.42e-06,3.63e-06,208
"318","Alpha",2017-07-28,"st9",3.37e-06,8.43e-07,1.6e-06,3.3e-06,4.95e-06,209
"319","Alpha",2017-07-29,"st9",2.31e-06,5.77e-07,1.32e-06,2.25e-06,3.26e-06,210
"320","Alpha",2017-07-30,"st9",3.06e-06,7.64e-07,6.45e-07,1.82e-06,3.64e-06,211
"321","Alpha",2017-07-31,"st9",3.62e-06,9.06e-07,1.65e-06,3.57e-06,5.23e-06,212
"322","Alpha",2017-08-01,"st9",3.74e-06,9.35e-07,2.1e-06,3.73e-06,5.45e-06,213
"323","Alpha",2017-08-02,"st9",4.04e-06,1.01e-06,2.17e-06,4.09e-06,6.01e-06,214
"324","Alpha",2017-08-03,"st9",3.97e-06,9.93e-07,2.43e-06,4.01e-06,5.84e-06,215
"325","Alpha",2017-08-04,"st9",3.05e-06,7.63e-07,1.79e-06,3.14e-06,4.44e-06,216
"326","Alpha",2017-08-05,"st9",3.79e-06,9.47e-07,2.16e-06,3.71e-06,5.3e-06,217
"327","Alpha",2017-08-06,"st9",6.57e-06,1.64e-06,3.71e-06,6.57e-06,9.71e-06,218
"328","Alpha",2017-08-07,"st9",6.01e-06,1.5e-06,3.29e-06,6.01e-06,8.81e-06,219
"329","Alpha",2017-08-08,"st9",4.05e-06,1.01e-06,2.35e-06,4.08e-06,5.99e-06,220
"330","Alpha",2017-08-09,"st9",3e-06,7.5e-07,1.66e-06,2.84e-06,4.18e-06,221
"331","Alpha",2015-07-02,"st6",2.56e-06,6.39e-07,1.18e-06,2.56e-06,3.8e-06,183
"332","Alpha",2015-07-03,"st6",2.43e-06,6.08e-07,1.35e-06,2.39e-06,3.55e-06,184
"333","Alpha",2015-07-04,"st6",2.49e-06,6.23e-07,1.44e-06,2.49e-06,3.66e-06,185
"334","Alpha",2015-07-05,"st6",3.4e-06,8.49e-07,1.8e-06,3.38e-06,5.11e-06,186
"335","Alpha",2015-07-06,"st6",2.85e-06,7.13e-07,1.52e-06,2.9e-06,4.28e-06,187
"336","Alpha",2015-07-07,"st6",2.69e-06,6.71e-07,1.52e-06,2.77e-06,4.06e-06,188
"337","Alpha",2015-07-08,"st6",2.72e-06,6.81e-07,1.53e-06,2.69e-06,3.96e-06,189
"338","Alpha",2015-07-09,"st6",2.95e-06,7.36e-07,1.5e-06,2.86e-06,4.3e-06,190
"339","Alpha",2015-07-10,"st6",3.11e-06,7.77e-07,1.62e-06,2.99e-06,4.52e-06,191
"340","Alpha",2015-07-11,"st6",3.53e-06,8.83e-07,1.98e-06,3.55e-06,5.23e-06,192
"341","Alpha",2015-07-12,"st6",3.52e-06,8.8e-07,1.83e-06,3.52e-06,5.15e-06,193
"342","Alpha",2015-07-13,"st6",4.53e-06,1.13e-06,2.46e-06,4.56e-06,6.63e-06,194
"343","Alpha",2015-07-14,"st6",4.72e-06,1.18e-06,2.57e-06,4.72e-06,6.91e-06,195
"344","Alpha",2015-07-15,"st6",3.93e-06,9.83e-07,2.2e-06,3.93e-06,5.66e-06,196
"345","Alpha",2015-07-16,"st6",4.04e-06,1.01e-06,2.33e-06,4.03e-06,5.94e-06,197
"346","Alpha",2015-07-17,"st6",3.26e-06,8.16e-07,1.96e-06,3.33e-06,4.81e-06,198
"347","Alpha",2015-07-18,"st6",2.76e-06,6.9e-07,1.61e-06,2.69e-06,3.9e-06,199
"348","Alpha",2015-07-19,"st6",3.77e-06,9.44e-07,2.02e-06,3.75e-06,5.67e-06,200
"349","Alpha",2015-07-20,"st6",4.28e-06,1.07e-06,2.52e-06,4.3e-06,6.23e-06,201
"350","Alpha",2015-07-21,"st6",3.83e-06,9.59e-07,2.24e-06,3.73e-06,5.66e-06,202
"351","Alpha",2015-07-22,"st6",3.45e-06,8.63e-07,2.02e-06,3.51e-06,5.03e-06,203
"352","Alpha",2015-07-23,"st6",3.08e-06,7.69e-07,1.74e-06,3.09e-06,4.53e-06,204
"353","Alpha",2015-07-24,"st6",3.79e-06,9.48e-07,2.27e-06,3.75e-06,5.57e-06,205
"354","Alpha",2015-07-25,"st6",3.91e-06,9.79e-07,2.36e-06,3.95e-06,5.8e-06,206
"355","Alpha",2015-07-26,"st6",3.92e-06,9.79e-07,2.35e-06,3.91e-06,5.67e-06,207
"356","Alpha",2015-07-27,"st6",4.88e-06,1.22e-06,2.75e-06,4.7e-06,6.71e-06,208
"357","Alpha",2015-07-28,"st6",3.94e-06,9.84e-07,2.3e-06,3.98e-06,5.68e-06,209
"358","Alpha",2015-07-29,"st6",4.37e-06,1.09e-06,2.32e-06,4.27e-06,6.49e-06,210
"359","Alpha",2015-07-30,"st6",3.98e-06,9.96e-07,2.27e-06,3.89e-06,5.68e-06,211
"360","Alpha",2015-07-31,"st6",3.18e-06,7.94e-07,1.75e-06,3.13e-06,4.7e-06,212
"361","Alpha",2015-08-01,"st6",2.87e-06,7.17e-07,1.69e-06,2.89e-06,4.17e-06,213
"362","Alpha",2015-08-02,"st6",2.4e-06,6e-07,1.5e-06,2.5e-06,3.51e-06,214
"363","Alpha",2015-08-03,"st6",1.96e-06,4.91e-07,1.01e-06,1.9e-06,2.86e-06,215
"364","Alpha",2015-08-04,"st6",1.16e-06,2.9e-07,7.24e-07,1.12e-06,1.63e-06,216
"365","Alpha",2015-08-05,"st6",2.64e-06,6.6e-07,1.58e-06,2.6e-06,3.72e-06,217
"366","Alpha",2015-08-06,"st6",2.63e-06,6.56e-07,1.34e-06,2.56e-06,3.91e-06,218
"367","Alpha",2015-08-07,"st6",2.52e-06,6.3e-07,1.35e-06,2.47e-06,3.72e-06,219
"368","Alpha",2015-08-08,"st6",4.34e-06,1.09e-06,2.47e-06,4.4e-06,6.24e-06,220
"369","Alpha",2015-08-09,"st6",2.99e-06,7.46e-07,1.55e-06,2.95e-06,4.44e-06,221
"370","Alpha",2016-07-01,"st6",3.16e-06,7.9e-07,1.74e-06,3.13e-06,4.65e-06,183
"371","Alpha",2016-07-02,"st6",2.95e-06,7.37e-07,1.65e-06,2.92e-06,4.33e-06,184
"372","Alpha",2016-07-03,"st6",2.35e-06,5.89e-07,1.22e-06,2.35e-06,3.48e-06,185
"373","Alpha",2016-07-04,"st6",2.42e-06,6.04e-07,1.26e-06,2.38e-06,3.56e-06,186
"374","Alpha",2016-07-05,"st6",3.72e-06,9.29e-07,1.9e-06,3.66e-06,5.54e-06,187
"375","Alpha",2016-07-06,"st6",6.51e-06,1.63e-06,3.49e-06,6.48e-06,9.6e-06,188
"376","Alpha",2016-07-07,"st6",7.15e-06,1.79e-06,3.8e-06,7.22e-06,1.06e-05,189
"377","Alpha",2016-07-08,"st6",3.72e-06,9.31e-07,1.96e-06,3.71e-06,5.52e-06,190
"378","Alpha",2016-07-09,"st6",4.33e-06,1.08e-06,2.31e-06,4.22e-06,6.5e-06,191
"379","Alpha",2016-07-10,"st6",3.35e-06,8.39e-07,1.71e-06,3.28e-06,4.9e-06,192
"380","Alpha",2016-07-11,"st6",3.75e-06,9.38e-07,2.01e-06,3.66e-06,5.52e-06,193
"381","Alpha",2016-07-12,"st6",3.81e-06,9.53e-07,2.12e-06,3.74e-06,5.53e-06,194
"382","Alpha",2016-07-13,"st6",5.76e-06,1.44e-06,2.95e-06,5.72e-06,8.45e-06,195
"383","Alpha",2016-07-14,"st6",5.59e-06,1.4e-06,2.94e-06,5.59e-06,8.42e-06,196
"384","Alpha",2016-07-15,"st6",5.95e-06,1.49e-06,3.01e-06,6.01e-06,8.82e-06,197
"385","Alpha",2016-07-16,"st6",5.19e-06,1.3e-06,2.86e-06,5.25e-06,7.75e-06,198
"386","Alpha",2016-07-17,"st6",5.71e-06,1.43e-06,3.04e-06,5.68e-06,8.29e-06,199
"387","Alpha",2016-07-18,"st6",6.13e-06,1.53e-06,3.44e-06,5.99e-06,8.69e-06,200
"388","Alpha",2016-07-19,"st6",5.6e-06,1.4e-06,3.22e-06,5.66e-06,8.26e-06,201
"389","Alpha",2016-07-20,"st6",5.79e-06,1.45e-06,3.41e-06,5.8e-06,8.48e-06,202
"390","Alpha",2016-07-21,"st6",6.59e-06,1.65e-06,3.59e-06,6.57e-06,9.43e-06,203
"391","Alpha",2016-07-22,"st6",4.22e-06,1.06e-06,2.39e-06,4.25e-06,6.36e-06,204
"392","Alpha",2016-07-23,"st6",3.57e-06,8.91e-07,2.03e-06,3.57e-06,5.23e-06,205
"393","Alpha",2016-07-24,"st6",4.42e-06,1.11e-06,2.26e-06,4.27e-06,6.18e-06,206
"394","Alpha",2016-07-25,"st6",4.21e-06,1.05e-06,2.43e-06,4.19e-06,6.17e-06,207
"395","Alpha",2016-07-26,"st6",4.38e-06,1.09e-06,2.53e-06,4.51e-06,6.66e-06,208
"396","Alpha",2016-07-27,"st6",2.75e-06,6.87e-07,1.34e-06,2.66e-06,3.98e-06,209
"397","Alpha",2016-07-28,"st6",4.99e-06,1.25e-06,2.77e-06,4.92e-06,7.38e-06,210
"398","Alpha",2016-07-29,"st6",4.25e-06,1.06e-06,2.45e-06,4.33e-06,6.37e-06,211
"399","Alpha",2016-07-30,"st6",4.71e-06,1.18e-06,2.65e-06,4.74e-06,7.09e-06,212
"400","Alpha",2016-07-31,"st6",4.88e-06,1.22e-06,2.88e-06,4.98e-06,7.15e-06,213
"401","Alpha",2016-08-01,"st6",4.07e-06,1.02e-06,2.29e-06,4.02e-06,5.89e-06,214
"402","Alpha",2016-08-02,"st6",2.75e-06,6.88e-07,1.58e-06,2.69e-06,4.03e-06,215
"403","Alpha",2016-08-03,"st6",3.12e-06,7.79e-07,1.75e-06,3.02e-06,4.54e-06,216
"404","Alpha",2016-08-04,"st6",2.24e-06,5.61e-07,1.18e-06,2.25e-06,3.3e-06,217
"405","Alpha",2016-08-05,"st6",3.88e-06,9.69e-07,2.08e-06,3.82e-06,5.68e-06,218
"406","Alpha",2016-08-06,"st6",5.78e-06,1.45e-06,2.88e-06,5.61e-06,8.38e-06,219
"407","Alpha",2016-08-07,"st6",6.21e-06,1.55e-06,3.35e-06,5.99e-06,8.84e-06,220
"408","Alpha",2016-08-08,"st6",6.61e-06,1.65e-06,3.63e-06,6.51e-06,9.44e-06,221
"409","Alpha",2016-08-09,"st6",6.31e-06,1.58e-06,3.73e-06,6.23e-06,9.18e-06,222
"410","Alpha",2016-08-10,"st6",9.63e-06,2.41e-06,5.68e-06,9.6e-06,1.36e-05,223
"411","Alpha",2016-08-11,"st6",1.04e-05,2.59e-06,5.73e-06,1.03e-05,1.53e-05,224
"412","Alpha",2016-08-12,"st6",8.34e-06,2.08e-06,4.74e-06,8.39e-06,1.21e-05,225
"413","Alpha",2017-07-02,"st6",3.79e-06,9.48e-07,1.99e-06,3.74e-06,5.53e-06,183
"414","Alpha",2017-07-03,"st6",4.84e-06,1.21e-06,2.67e-06,4.88e-06,7.1e-06,184
"415","Alpha",2017-07-04,"st6",3.41e-06,8.51e-07,1.91e-06,3.36e-06,4.98e-06,185
"416","Alpha",2017-07-05,"st6",5.05e-06,1.26e-06,2.69e-06,5.18e-06,7.54e-06,186
"417","Alpha",2017-07-06,"st6",4.38e-06,1.09e-06,2.25e-06,4.33e-06,6.29e-06,187
"418","Alpha",2017-07-07,"st6",5.05e-06,1.26e-06,2.69e-06,5.02e-06,7.54e-06,188
"419","Alpha",2017-07-11,"st6",2.75e-06,6.88e-07,1.43e-06,2.67e-06,3.99e-06,192
"420","Alpha",2017-07-12,"st6",6.64e-06,1.66e-06,3.53e-06,6.59e-06,9.7e-06,193
"421","Alpha",2017-07-13,"st6",4.63e-06,1.16e-06,2.63e-06,4.66e-06,6.95e-06,194
"422","Alpha",2017-07-14,"st6",3.96e-06,9.9e-07,2.09e-06,4.02e-06,5.89e-06,195
"423","Alpha",2017-07-15,"st6",4.04e-06,1.01e-06,2.2e-06,3.93e-06,5.99e-06,196
"424","Alpha",2017-07-16,"st6",3.23e-06,8.08e-07,1.69e-06,3.2e-06,4.77e-06,197
"425","Alpha",2017-07-17,"st6",4.27e-06,1.07e-06,2.36e-06,4.29e-06,6.36e-06,198
"426","Alpha",2017-07-18,"st6",5.54e-06,1.38e-06,3.09e-06,5.41e-06,8.28e-06,199
"427","Alpha",2017-07-19,"st6",4.12e-06,1.03e-06,2.09e-06,4.19e-06,6.3e-06,200
"428","Alpha",2017-07-20,"st6",2.15e-06,5.37e-07,1.1e-06,2.19e-06,3.29e-06,201
"429","Alpha",2017-07-21,"st6",2.55e-06,6.38e-07,1.35e-06,2.52e-06,3.85e-06,202
"430","Alpha",2017-07-22,"st6",3.69e-06,9.23e-07,1.92e-06,3.68e-06,5.55e-06,203
"431","Alpha",2017-07-23,"st6",3.01e-06,7.52e-07,1.65e-06,3.05e-06,4.5e-06,204
"432","Alpha",2017-07-24,"st6",3.12e-06,7.79e-07,1.59e-06,3.13e-06,4.69e-06,205
"433","Alpha",2017-07-25,"st6",3.52e-06,8.8e-07,1.76e-06,3.53e-06,5.33e-06,206
"434","Alpha",2017-07-26,"st6",6.53e-06,1.63e-06,3.55e-06,6.62e-06,9.8e-06,207
"435","Alpha",2017-07-27,"st6",3.13e-06,7.81e-07,1.74e-06,3.16e-06,4.56e-06,208
"436","Alpha",2017-07-28,"st6",3.71e-06,9.27e-07,2.03e-06,3.74e-06,5.59e-06,209
"437","Alpha",2017-07-29,"st6",3.16e-06,7.91e-07,1.66e-06,3.1e-06,4.5e-06,210
"438","Alpha",2017-07-30,"st6",2.86e-06,7.14e-07,1.44e-06,2.86e-06,4.31e-06,211
"439","Alpha",2017-07-31,"st6",3.94e-06,9.85e-07,2.1e-06,3.95e-06,5.91e-06,212
"440","Alpha",2017-08-01,"st6",4.89e-06,1.22e-06,2.84e-06,4.94e-06,7.23e-06,213
"441","Alpha",2017-08-02,"st6",5.73e-06,1.43e-06,3.3e-06,5.71e-06,8.15e-06,214
"442","Alpha",2017-08-03,"st6",4.4e-06,1.1e-06,2.67e-06,4.41e-06,6.37e-06,215
"443","Alpha",2017-08-04,"st6",5.44e-06,1.36e-06,2.95e-06,5.46e-06,8.24e-06,216
"444","Alpha",2017-08-05,"st6",4.97e-06,1.24e-06,2.89e-06,4.98e-06,7.24e-06,217
"445","Alpha",2017-08-06,"st6",6.66e-06,1.66e-06,3.56e-06,6.52e-06,9.77e-06,218
"446","Alpha",2017-08-07,"st6",1.1e-05,2.76e-06,6.69e-06,1.1e-05,1.61e-05,219
"447","Alpha",2017-08-08,"st6",1.16e-05,2.89e-06,6.42e-06,1.16e-05,1.67e-05,220
"448","Alpha",2017-08-09,"st6",8.7e-06,2.18e-06,5.05e-06,8.7e-06,1.29e-05,221
"449","DOgw",2015-07-02,"st11U",8.999109625,3.880866026,4.919104424,8.975125544,13.21319172,183
"450","DOgw",2015-07-03,"st11U",8.902949519,3.83939698,4.989516032,9.054383115,13.5312562,184
"451","DOgw",2015-07-04,"st11U",8.903261556,3.839531546,4.917521999,9.448871177,13.80765304,185
"452","DOgw",2015-07-05,"st11U",8.900948895,3.838534211,4.972171112,9.174511374,13.59987344,186
"453","DOgw",2015-07-06,"st11U",8.819267162,3.803308964,4.723391228,9.213645148,13.77487461,187
"454","DOgw",2015-07-07,"st11U",8.754206362,3.775251493,4.366168791,8.871154591,13.91814976,188
"455","DOgw",2015-07-08,"st11U",8.785955246,3.7889432,4.504894148,8.946130381,13.11791515,189
"456","DOgw",2015-07-09,"st11U",8.807405608,3.798193669,3.763224183,9.08703586,13.58921679,190
"457","DOgw",2015-07-10,"st11U",8.822666274,3.80477483,4.109384549,9.09940951,13.61093781,191
"458","DOgw",2015-07-11,"st11U",8.834588375,3.809916237,4.202272422,9.167590399,13.5403934,192
"459","DOgw",2015-07-12,"st11U",8.688419833,3.746881053,3.857738701,8.822332042,13.39622415,193
"460","DOgw",2015-07-14,"st11U",8.717042163,3.759224433,4.714546332,8.912232399,12.88695839,195
"461","DOgw",2015-07-15,"st11U",8.616201501,3.715736897,4.285322032,8.85356836,13.67411119,196
"462","DOgw",2015-07-16,"st11U",8.725913786,3.76305032,4.030669499,9.006001453,14.34972837,197
"463","DOgw",2015-07-17,"st11U",8.611250214,3.713601655,3.309481087,8.803569416,13.72625197,198
"464","DOgw",2015-07-18,"st11U",8.590175043,3.704512987,4.580306765,9.035113957,13.76424426,199
"465","DOgw",2015-07-19,"st11U",8.941835558,3.856166584,4.526731835,9.103085779,13.77625205,200
"466","DOgw",2015-07-20,"st11U",8.896485875,3.836609533,3.769583657,9.076186306,14.23488504,201
"467","DOgw",2015-07-21,"st11U",8.800088985,3.795038375,4.012350313,9.091845015,14.33907584,202
"468","DOgw",2015-07-22,"st11U",8.669358049,3.738660658,3.647503699,8.916719267,14.00402798,203
"469","DOgw",2015-07-23,"st11U",8.676981723,3.741948368,4.026199203,8.814553183,13.78488066,204
"470","DOgw",2015-07-24,"st11U",8.711918276,3.757014757,3.417779225,8.400525063,13.45697564,205
"471","DOgw",2015-07-25,"st11U",8.722539656,3.761595227,4.302454119,9.025152548,13.83155057,206
"472","DOgw",2015-07-27,"st11U",8.615506605,3.715437223,3.846876358,9.082975611,13.97747235,208
"473","DOgw",2015-07-28,"st11U",8.577772893,3.69916456,4.199201884,8.811245125,13.58903505,209
"474","DOgw",2015-07-29,"st11U",8.645928148,3.728556514,3.66934397,8.825007238,13.78127301,210
"475","DOgw",2015-07-30,"st11U",8.756462171,3.776224311,3.527087317,8.908532802,14.85005492,211
"476","DOgw",2015-07-31,"st11U",8.629689376,3.721553543,3.346898007,8.487746051,13.90132394,212
"477","DOgw",2015-08-01,"st11U",8.820873214,3.804001574,3.784663627,9.01471188,14.07287645,213
"478","DOgw",2015-08-02,"st11U",8.725027613,3.762668158,2.253061585,9.189849255,14.63118774,214
"479","DOgw",2015-08-03,"st11U",8.586427565,3.702896887,3.455256603,8.654582981,13.55331326,215
"480","DOgw",2015-08-04,"st11U",8.602950394,3.710022357,2.872906879,8.295381157,13.39716448,216
"481","DOgw",2015-08-05,"st11U",8.506061694,3.668239106,3.427790259,8.651080232,14.16446943,217
"482","DOgw",2015-08-06,"st11U",8.387254093,3.617003328,3.95214701,8.857965255,13.97955114,218
"483","DOgw",2015-08-07,"st11U",8.4959535,3.663879947,3.941560873,8.652957385,13.78822382,219
"484","DOgw",2015-08-08,"st11U",8.670507208,3.739156233,3.811343643,8.939213061,13.88570256,220
"485","DOgw",2015-08-09,"st11U",8.458076761,3.647545603,3.603281025,8.663826272,13.67080917,221
"486","DOgw",2016-07-01,"st11U",8.916835224,3.84538519,4.608650113,9.067417914,13.35814455,183
"487","DOgw",2016-07-02,"st11U",9.109622073,3.928524519,4.947542026,9.315450684,13.83664559,184
"488","DOgw",2016-07-03,"st11U",8.965493474,3.866369061,4.152680683,8.849416494,13.86039648,185
"489","DOgw",2016-07-04,"st11U",8.890775196,3.834146803,4.005872364,9.090430868,14.76494351,186
"490","DOgw",2016-07-05,"st11U",8.900904762,3.838515179,3.705850241,8.898570951,14.21917,187
"491","DOgw",2016-07-06,"st11U",8.672317184,3.739936786,3.692842789,9.114604625,14.43215357,188
"492","DOgw",2016-07-07,"st11U",8.63175859,3.722445892,4.041744355,8.773873078,13.71480051,189
"493","DOgw",2016-07-08,"st11U",8.876761478,3.828103387,3.674195862,8.911157719,14.33685911,190
"494","DOgw",2016-07-09,"st11U",8.781853847,3.787174472,3.869080472,9.353233663,15.40376355,191
"495","DOgw",2016-07-10,"st11U",8.767195249,3.780852951,2.969026493,8.721631523,13.8213398,192
"496","DOgw",2016-07-11,"st11U",8.680698631,3.743551284,2.864339546,8.713361357,14.32335208,193
"497","DOgw",2016-07-12,"st11U",8.641471562,3.726634611,3.663965469,8.865116853,14.20494295,194
"498","DOgw",2016-07-13,"st11U",8.605944,3.71131335,2.856494533,8.767712407,13.91572042,195
"499","DOgw",2016-07-14,"st11U",8.914791297,3.844503747,3.92510424,9.055974193,14.30743531,196
"500","DOgw",2016-07-15,"st11U",8.677925755,3.742355482,3.481173861,8.886411095,14.13218604,197
"501","DOgw",2016-07-16,"st11U",8.534245852,3.680393524,4.024902238,8.899592796,14.32533549,198
